country;2010;2011;2012;2013;2014;2015
Belarus;12.2;10.57;9.56;8.97;8.74;7.81
Bulgaria;41.01;33.47;33;34.06;35.17;35.25
Czech Republic;172.02;184.25;174.09;177.23;160.77;148.62
Hungary;145.48;142.28;140.31;134.79;136.26;135.14
Poland;28.54;27.73;25.18;22.19;18.46;14.3
Russian Federation;21.24;20.7;20.27;19.01;18.06;16.6
Slovakia;44.87;41.15;40.31;37.22;36.09;35.01
Ukraine;8.83;9.95;9.23;8.95;8.81;8.84
Republic of Moldova;10.18;8.83;7.98;7.95;7.86;7.79
Romania;60.6;61.15;86.33;88.77;11.6;1.53
Denmark;31.58;30.41;170.63;26.72;27.15;25.75
Estonia;7.73;7.83;7.48;7.5;5.85;7.47
Iceland;17.92;18.69;22.88;28.27;30.86;25.8
Ireland;325.69;316.14;290.63;270.68;289.29;317.4
Lithuania;7.85;6.71;5.9;7.12;6.99;7.43
Sweden;59.62;60.07;55.93;48.41;47.1;47.36
United Kingdom (England and Wales);658.76;599.72;549.7;564.61;649.26;670.49
United Kingdom (Northern Ireland);80.4;79.7;70.08;59.74;63.68;68.01
Finland;37.19;54.73;34.55;32.84;30.02;28.4
Latvia;58.65;56.26;65.04;22.77;28.6;27.1
Norway;59.8;57.27;55.42;50.48;46.17;48.92
United Kingdom (Scotland);104.39;88.55;68.56;61.34;59.2;59.06
Albania;6.13;5.86;5.42;5.65;4.57;5.83
Andorra;116.09;174.91;205.51;118.57;168.99;188.72
Croatia;22.84;20.29;21.06;19.27;18;18.96
Italy;108.86;114.78;116.39;110.95;110.69;107.1
Kosovo under UNSCR 1244;205.91;203.76;205.9;35.13;48.69;42.46
Portugal;8.15;7.69;6.67;4.86;5.21;4.53
Serbia;15.35;14.51;14.73;14.39;12.9;12.9
Slovenia;106.31;95.87;98.5;89.55;80.2;74.49
The former Yugoslav Rep. of Macedonia;12.02;11.57;10.2;10.42;10.36;10.2
Bosnia and Herzegovina;13.17;17.01;16.14;15.09;15.51;26.03
Greece;9.85;12.78;15.23;14.56;13.26;14.82
Malta;43.68;43.71;41.87;52.31;38.3;43.71
Montenegro;31.03;25.84;26.93;27.7;20.63;22.37
Spain;53.81;39.16;37.21;35.95;36.26;63
Austria;42.97;46.26;47.66;44;42.74;40.51
Belgium;711.42;715.83;652.66;625.35;625.65;599.95
Liechtenstein;212.26;213.48;187.55;278.08;321.84;327.73
Luxembourg;487.31;527.71;562.28;553.88;572.61;561.07
France;368.34;365.6;364.58;365.43;371.04;379.13
Germany;177.66;172.95;169.09;158.71;155.93;157.88
Netherlands;362.44;356.05;342.1;314.41;298.49;281.8
Switzerland;6.22;6.14;7.44;7;7.42;7.42
