country;2010;2011;2012;2013;2014;2015
Belarus;228;209.8;175.8;155.7;138.21;132.81
Bulgaria;324.07;275.61;229.76;236.65;212.84;168.33
Czech Republic;559.25;566.47;526.82;591.58;467.66;327
Hungary;441.85;453.24;470.53;379.75;302.17;328.97
Poland;363.15;351.38;331.42;306.93;227.25;245.21
Republic of Moldova;110.74;149.66;143.54;55.65;150.33;132.91
Russian Federation;248.94;219.43;192.99;171.71;164.32;179.88
Slovakia;273.41;238.09;218.91;206.06;173.84;126.46
Ukrain;85.32;87.94;82.72;84.62;82.37;80.19
Romania;69.94;81.1;97.9;98.88;260.11;151.51
Denmark;1741.74;1644.95;1444.93;1403.82;1233.19;1117.34
Finland;598.06;612.18;530.27;490.83;503.85;510.97
Ireland;550.53;595.24;602.69;561.26;591.1;559.95
Norway;435.43;363;346.55;309.63;289.24;268.32
Sweden;988.27;996.75;922.79;887.89;915.14;920.9
United Kingdom (England and Wales);938.52;892.01;812.82;778.27;716.68;702.19
United Kingdom (Northern Ireland);656.68;619.63;522.09;498.71;482.97;492.94
United Kingdom (Scotland);475.41;457.03;404.9;418.04;385.35;414.85
Latvia;73.43;57.03;47.96;47.47;30.76;25.42
Iceland;901.14;591.84;424.85;335.6;349.2;386.43
Albania;7.96;9.18;11.18;12.66;10.21;7.97
Andorra;157.55;125.11;113.47;118.57;122.28;113.52
Croatia;427.48;447.16;448.31;432.71;359.55;352.99
Greece;723.36;781.33;716.11;611.89;557.83;591.43
Italy;283.9;343.3;397.3;420.6;428;392.5
Kosovo under UNSCR 1244;384.39;413.94;378.19;411.78;392.09;327.46
Malta;402.85;406.69;404.72;345.05;388.77;325.08
Montenegro;222.04;198.09;221.68;189.07;152.09;150.05
Portugal;478.51;493.29;416.96;367.03;332.73;283.93
Slovenia;654.33;665.17;683.8;744.38;658.4;495.81
The former Yugoslav Rep. of Macedonia;649.67;700.18;724.17;729.01;631.52;635.61
Bosnia and Herzegovina;368.95;381.47;341.66;311.41;270.43;74.22
Spain;430;362.64;348.8;360.18;479.98;428.06
Serbia;167.53;193.15;196;276.68;276.45;254.23
Belgium;836.19;887.04;924.69;896.02;858.87;776.08
Germany;493.99;523.77;534.57;543.06;553.12;574.96
Liechtenstein;281.18;268.22;380.53;337.47;595.4;447.63
Luxembourg;475.1;688.29;594.01;623.8;784.8;619.47
Netherlands;1759.21;1821.73;1791.27;1732.95;1507.76;1347.92
France;519.89;546.09;573.4;603.83;591.31;592.57
Switzerland;794.88;822.28;918.83;846.56;775.83;633.46
Austria;793.5;777.68;819.88;861.72;821;748.58
