country;2010;2011;2012;2013;2014;2015
Belarus;49,88;38,38;27,98;29,17;25,89;25,46
Bulgaria;50,45;42,28;40,46;41,05;32,3;27,22
Czech Republic;38,25;36,84;32,39;28,93;24,16;19,18
Hungary;33,91;32,07;30,49;23,15;19,76;19,65
Poland;50,19;45,94;43,21;32,08;24,45;21,08
Republic of Moldova;4,53;3,73;4,1;3,58;3,07;3,21
Russian Federation;114,94;89,22;76,81;64,22;54,19;50,7
Slovakia;21,97;15,73;17,99;15,43;12,54;9,93
Ukraine;51,04;51,97;51,73;50,65;51,19;50,85
Romania;12,24;11,19;16,01;14,82;32,66;17,21
Denmark;60,75;58,12;53,62;56,9;41,12;35,88
Estonia;44,97;39,53;34,52;36,06;27,35;25,68
Finland;28,09;30,06;29,79;27,95;30,82;28,16
Iceland;13,21;13,08;15,46;15,06;15,58;16,09
Ireland;69,22;63;60,35;60,07;56,62;54,92
Latvia;51,28;50,74;46,29;45,58;40,67;39,53
Lithuania;87,32;81,48;63,75;62,96;57,87;55,24
Sweden;98,26;102,71;96,54;86,87;86,2;86,52
United Kingdom (England and Wales);136,8;132,97;115,18;101,54;87,52;89,86
United Kingdom (Northern Ireland);74,74;69,94;57,03;52,96;49,23;48,48
United Kingdom (Scotland);48,59;42,34;34,48;28,14;27,99;30,35
Norway;34,49;32,76;29,57;32,79;20,65;23,19
Albania;8,13;9,29;11,32;12,87;10,28;8,08
Andorra;9,48;6,07;7,56;17,13;9,62;11,35
Bosnia and Herzegovina;25,86;25,44;26,38;28,85;26,85;27,07
Croatia;28,84;32,12;37,04;35,65;29,79;30,92
Greece;54,39;59,5;53,94;44,5;34,54;39,4
Italy;80,55;97,53;104,86;106,69;97,59;58,64
Kosovo under UNSCR 1244;31;34,24;28,52;29,69;22,93;19,62
Portugal;193,13;192,94;176,07;158,61;149,91;149,49
Serbia;39,96;39,32;42,2;42,92;36,34;34,23
Slovenia;22,56;19,57;18,95;18,26;14,38;11,22
Spain;181,13;187,8;207,15;185,2;153,17;140,02
The former Yugoslav Rep. of Macedonia;29,29;24,83;22,66;22,58;14,69;16,93
Malta;47,57;52,89;61,84;49,67;45,48;57,8
Montenegro;0,48;23,12;18,75;25,77;30,07;24,93
Austria;51,36;48,27;48,39;44,03;40,87;39,98
Germany;59,88;59,71;60,53;58,63;56,39;55,36
Liechtenstein;5,51;2,74;13,59;2,7;2,68;7,99
Luxembourg;74,23;76,54;98,97;106,81;110,5;108,43
France;192,24;191,19;194,79;195,25;177,93;162,92
Netherlands;96,95;92,21;88,15;78,05;61,18;56,81
Switzerland;56,27;66,06;75,74;66,81;48,8;39,51
Belgium;218,26;248,44;231,13;205,14;195,12;195,6
