country;2010;2011;2012;2013;2014;2015
Belarus;3.85582907594319;3.62575695581446;4.62545314163095;5.08565913617079;4.74715754731737;4.87
Bulgaria;9.39614004946743;8.82365217353472;9.52936310310018;8.71418961001106;8.47068338140793;8.43381767876442
Czech Republic;12.7253139616682;13.8219296875779;13.3710618548166;13.437248051599;13.5544462852186;13.4589297770143
Poland;8.03376681109128;7.85091714647301;7.18994290677685;8.31980404932346;11.6131616246039;7.78259616737829
Republic of Moldova;13.6369768217912;11.3050850076181;15.142018389331;14.9249554583361;15.9122273680488;15.33
Russia;10.6392862900478;11.2393227481295;9.61144310556083;8.97205731115568;9.96936228606074;11.2814357269267
Slovakia;10.3941337136871;14.3401577823907;11.8364042739575;11.8281220706484;12.5210659096739;3.00391171964179
Ukraine;2.95306443636986;2.96;3.41;3.63;3.52;3.2
Romania;7.32061608649717;6.58821666869534;7.72626499915718;7.93668315250309;7.71440263706371;8.91789813956244
Hungary;12.9011217884869;8.09903366214676;13.6066936497611;60.1944257785299;7.81633928372806;8.19
Denmark;36.2099593962052;33.4613867969545;33.9940995955702;32.7685630887296;33.7884562837055;38.3836463088109
Estonia;20.6442662614885;23.4174756111886;30.2105676565663;28.8625430854892;25.7559054340402;42.8933426180024
Iceland;68.2299822036083;88.7767498364639;84.413757277981;138.909376997591;97.7642537226795;108.674205054261
Ireland;51.2416905513008;43.2865634982077;45.3311875999921;43.0290480326199;43.9128980288178;50.187001502624
Lithuania;16.45940307445;17.2279426156446;14.6196116288568;11.8766047756098;13.7479523779158;12.9585655944872
Norway;50.0485458628069;53.7147667162231;52.3078523352318;49.1791991659208;51.6125773848721;51.16
Sweden;150.549486975311;155.130563732992;147.640420028088;154.723792936736;174.271560849683;155.806690494923
United Kingdom;100.90;103.47;106.52;123.11;149.50;164.81
Finland;45.03;60.27;64.72;60.7;54.77;54
Latvia;11.05;9.59;16;22.47;27.8;23.65
Albania;2.72237026785711;1.52459624187026;1.52742403061513;3.01739580706841;3.35677771487184;5.1438215970772
Andorra;11.8456745519374;20.6496125160946;22.6940339906198;23.7147901241074;21.9822493336631;15.6088147233692
Bosnia and Herzegovina;3.83285818059698;4.35768505157464;3.6307415672109;3.5830735605002;3.51010097041194;4.30399200507241
Croatia;9.19742611072821;8.78646178249416;8.00090505864803;13.4847338064384;14.1922195151007;14.2678012044854
Greece;4.57168050591594;3.90027944829785;4.37457053148872;4.23331576085167;4.23606441617715;5.05722838142128
Italy;8.07712867456702;7.73639059224743;7.8493123531989;7.50864623625594;7.12007845901632;6.68922216637651
Montenegro;5.78822803045894;4.01311808038115;3.84699229319211;4.00225406949194;4.95768377014259;4.15480815173359
Portugal;20.217599949815;19.8031823174156;19.296214099912;20.4212045527814;22.4084131815304;23.6236380537871
Serbia;5.44207414334799;4.78729717291263;4.28607466586986;3.50205675905346;3.91327155686923;3.83008651589232
Slovenia;18.2705799812909;15.1528176227269;12.7976359276177;13.076206679617;9.7770257319701;7.4001487768473
Spain;21.3684145563408;21.1782189083643;19.315102089792;19.207768144092;20.4670517216318;21.397737320995
The former Yugoslav Republic of Macedonia;6.01228736988125;6.09907216654533;5.79914655893141;7.28573544674345;6.50406504065041;6.84
Malta;22.0839481245632;16.663647889875;19.7307000067373;22.5556512704351;18.4332679790196;24.8405665559988
Austria;39.3232305201653;44.7435579189271;45.5917507669881;43.1014066046248;40.8011538448894;38.9486395244895
Belgium;64.8949156164816;66.078004211655;64.0190130963243;64.1793392020638;60.3403323011758;55.1101353087902
Germany;45.4601360569184;45.202550734902;45.0769423158283;43.8523210221759;43.3485683440604;42.4657552072602
Liechtenstein;16.5398610651671;13.6847579166325;32.6166725557881;16.1987041036717;21.4557742852545;23.9801763875197
France;36.4717053389888;37.7297325576644;42.1369452135385;43.5088181165844;48.2819665599465;52.0612165366922
Netherlands;57.7816731804831;55.0933222160062;53.0170840388844;49.5563221879598;47.1306057261018;43.4566077057103
Switzerland;31.8241386858163;35.529478174668;32.1715029040359;33.2072091668649;33.4535607461009;32.6558627576514
Luxembourg;41.5445107100173;41.7322940645908;52.2086317019075;49.1846903475045;51.3858918776153;53.47
